NAMA PROPERTI,TIPE,ALAMAT,JUMLAH KAMAR TIDUR,SERTIFIKAT,HARGA TANAH NET (RP/M²),HARGA PROPERTI NET (RP),LUAS TANAH (M²),LUAS BANGUNAN (M²),PROVINSI,KABKOT,KECAMATAN,DESA,LATITUDE,LONGITUDE,score_LST,score_NDVI,score_UTFVI,score_UHI,Overall_Score
RUMAH NYAMAN DAN ASRI DI CLUSTER MEKAR WANGI,RUMAH SEKEN,"CLUSTER MEKAR WANGI, BOJONGLOA KIDUL, BANDUNG, JAWA BARAT, INDONESIA.",3.0,SERTIFIKAT HAK MILIK,4100000000.0,20500000.0,200,,JAWA BARAT,KOTA BANDUNG,BOJONGLOA KIDUL,MEKAR WANGI,-6.9555665,107.6071784,80.0,40.0,100.0,100.0,80.0
RUMAH NYAMAN DAN ASRI DI SAYAP DAGO,RUMAH SEKEN,"SAYAP DAGO , DAGO, COBLONG, BANDUNG, JAWA BARAT, INDONESIA.",2.0,,2800000000.0,17200000.0,163,,JAWA BARAT,KOTA BANDUNG,COBLONG,DAGO,-6.8772577,107.6174119,60.0,40.0,60.0,87.5,61.88
RUMAH CEPAT SIAP HUNI DI SAYAP SUKAJADI PASTEUR BANDUNG,RUMAH SEKEN,"SAYAP SUKAJADI PASTEUR BANDUNG, PASTEUR, SUKAJADI, BANDUNG, JAWA BARAT, INDONESIA",6.0,SERTIFIKAT HAK MILIK,7700000000.0,17600000.0,440,,JAWA BARAT,KOTA BANDUNG,SUKAJADI,CIPEDES,-6.8922489,107.5917048,40.0,40.0,60.0,50.0,47.5
RUMAH SIAP PAKAI DI MARGAHAYU SOEKARNO HATTA BANDUNG,RUMAH SEKEN,"MARGAHAYU SOEKARNO HATTA BANDUNG, MAGAHAYU SELATAN (MARGAHAYU SELATAN), MARGAHAYU, BANDUNG, JAWA BARAT, INDONESIA",3.0,SERTIFIKAT HAK MILIK,1500000000.0,14900000.0,101,,JAWA BARAT,KOTA BANDUNG,BANDUNG KIDUL,BATUNUNGGAL,-6.9486133,107.6332136,80.0,40.0,100.0,100.0,80.0
RUMAH LOKASI BAGUS DEKAT SEKOLAH DI JALAN MARGAHAYU RAYA,RUMAH SEKEN,"JALAN MARGAHAYU RAYA, MAGAHAYU SELATAN (MARGAHAYU SELATAN), MARGAHAYU, BANDUNG, JAWA BARAT, INDONESIA",1.0,SERTIFIKAT HAK MILIK,725000000.0,5000000.0,144,,JAWA BARAT,KOTA BANDUNG,BUAHBATU,SEKEJATI,-6.9440757,107.6602841,100.0,40.0,100.0,100.0,85.0
RUMAH NYAMAN DAN ASRI DI TAMAN MILLENIUM,RUMAH SEKEN,"TAMAN MILLENIUM , PAJAJARAN, CICENDO, BANDUNG, JAWA BARAT, INDONESIA.",5.0,,6500000000.0,30500000.0,213,,JAWA BARAT,KOTA BANDUNG,CICENDO,PAJAJARAN,-6.895874,107.5847001,60.0,40.0,80.0,100.0,70.0
RUMAH NYAMAN DAN ASRI DEKAT SEKOLAH DI DALAM KOMPLEK JATIHANDAP BANDUNG,RUMAH SEKEN,"DALAM KOMPLEK JATIHANDAP BANDUNG, JATIHANDAP, MANDALAJATI, BANDUNG, JAWA BARAT, INDONESIA",3.0,,680000000.0,11300000.0,60,,JAWA BARAT,KOTA BANDUNG,MANDALAJATI,JATIHANDAP,-6.8965422,107.6644471,40.0,80.0,60.0,12.5,48.12
RUMAH SIAP PAKAI DEKAT RSU DI TUBAGUS ISMAIL,RUMAH SEKEN,"JL. TUBAGUS ISMAIL, SEKELOA, COBLONG, BANDUNG, JAWA BARAT, INDONESIA",5.0,SERTIFIKAT HAK MILIK,8300000000.0,18400000.0,450,,JAWA BARAT,KOTA BANDUNG,COBLONG,SEKELOA,-6.885059,107.6192639,60.0,40.0,80.0,100.0,70.0
RUMAH LOKASI STRATEGIS DI JL. PAJAJARAN,RUMAH SEKEN,"JL. PAJAJARAN, CICENDO, BANDUNG, JAWA BARAT, INDONESIA",,,16200000000.0,18000000.0,900,,JAWA BARAT,KOTA BANDUNG,CICENDO,ARJUNA,-6.9070675,107.5928179,60.0,40.0,80.0,100.0,70.0
RUMAH NYAMAN DAN ASRI DEKAT BORMA TOSERBA SETIABUDI DI JALAN GEGERKALONG HILIR,RUMAH SEKEN,"JALAN GEGERKALONG HILIR, GEGERKALONG (GEGER KALONG), SUKASARI, BANDUNG, JAWA BARAT, INDONESIA",3.0,SERTIFIKAT HAK MILIK,2700000000.0,11700000.0,230,,JAWA BARAT,KOTA BANDUNG,SUKASARI,SUKARASA,-6.8683511,107.5846072,60.0,40.0,80.0,87.5,66.88
